QM,Securities,CBNA,IE,ATM,Mo,POS,WEBPAY,MOBILE,Headline,Core,Food,OilRevenue,Insecurity,PMS,PMIt,GovtExp
8229646.86,1363168.35,20102077.63,156.96,19004118,7078745.96,456490,180595,646048,9.0,11.3,10.1,591384000.0,5469,97.0,42.1,0.0
8633225.33,1766875.55,20917798.89,157.52,21084395,6914399.38,441961,173347,673784,9.5,11.2,11.0,647626000.0,5969,98.45,46.21,78459.0
8730636.66,1777003.12,21478771.67,158.63,24730428,6938532.49,536554,179200,773150,8.6,7.2,9.5,581642000.0,6664,102.34,48.22,90756.0
8858204.63,2158029.55,20819318.46,158.2,23451066,6776177.42,494953,178411,1018759,9.1,6.9,10.0,613354000.0,7438,120.11,49.53,122712.0
8679498.09,2378904.82,21034555.45,158.02,25115587,6744554.53,603786,194825,1445715,9.0,6.2,9.3,641015000.0,8244,121.14,51.2,39467.0
8653623.3,2184603.65,20466921.26,160.02,23277419,6939549.21,674044,202107,1424769,8.4,5.5,9.6,559394000.0,8964,125.66,52.31,70535.0
8288876.88,3273483.47,20472621.76,161.12,25172822,6522552.92,749879,288622,1639608,8.7,6.6,10.0,645648000.0,9342,110.23,49.77,114014.0
8349106.98,2936900.15,20425829.56,161.15,25692821,6270342.25,836532,239291,1715386,8.2,7.2,9.7,457230000.0,9790,98.0,52.15,59834.0
8068974.34,2832005.11,20692968.95,161.96,25836867,6293476.73,923502,282786,1954073,8.0,7.4,9.4,519916000.0,10791,100.5,51.12,168821.0
8069502.82,3130398.65,20889057.48,159.83,26860954,6460005.18,1062697,293568,2052917,7.8,7.6,9.2,526354000.0,11418,101.7,50.88,69952.0
8356843.97,3282441.15,20880786.12,158.79,26235362,6378038.83,1155703,283891,1153747,7.9,7.8,9.3,521280000.0,11803,107.22,51.56,40998.0
8656124.8,3308086.42,14136474.34,159.05,28831101,7032838.75,1466154,403830,1314479,8.0,7.9,9.3,490763000.0,12133,103.53,50.76,57325.0
8666784.11,3107077.29,15004082.32,160.23,26532724,6826905.39,1349561,359582,1513998,8.0,6.6,9.3,474398000.0,12609,103.78,51.46,97127.0
9003572.12,2676495.72,15357876.68,163.62,26685397,6420603.05,1433005,330926,1591649,7.7,7.2,9.2,630138000.0,13442,103.8,51.46,0.0
11209978.19,2840782.09,15810885.73,164.61,29585180,6522940.37,1576671,431538,1772986,7.8,6.8,9.3,680981000.0,16898,104.2,51.43,126510.0
11217823.4,2588206.74,14992424.14,162.19,27853731,6668824.43,1624564,396072,1878800,7.9,7.5,9.4,615279000.0,17808,104.93,51.08,28381.0
11088054.82,2513780.7,14856961.4,161.86,28337262,6534503.57,1362120,358410,2685044,8.0,7.7,9.7,570162000.0,19206,103.25,51.6,1982.0
10979913.92,3026352.2,14114671.59,162.82,36512638,6596726.38,1625580,353825,3664095,8.2,8.1,9.8,602470000.0,20674,104.49,51.72,1395.0
11698455.28,3188037.65,14154791.18,162.25,39123904,6403787.56,1758646,500415,2705611,8.3,7.1,9.9,597118000.0,21455,106.48,51.58,68706.0
11654544.1,3218821.76,13889492.58,161.99,38257176,6244358.37,1503414,535153,1928482,8.5,6.3,10.0,578793000.0,21953,102.84,51.33,73088.0
11807701.81,3297598.33,13925164.48,162.93,34814241,6392454.87,1867266,561826,3549910,8.3,6.3,9.7,537197000.0,23619,102.75,49.68,46146.0
